0,1
OS,‎Android 13.0
RAM,‎8 GB
Product Dimensions,‎50 x 50 x 28 cm; 230 Grams
Batteries,‎1 Unknown batteries required.
Item model number,‎SM-S918BZGDEUB
Wireless communication technologies,‎Cellular
Connectivity technologies,"‎Bluetooth, Wi-Fi, USB"
GPS,‎GLONASS
Special features,"‎Fast Charging Support, Dual SIM, Fingerprint Sensor, Wireless Charging"
Other display features,‎Wireless
Device interface - primary,‎Touchscreen
Other camera features,"‎Rear, Front"
Audio Jack,‎USB Type-C
Form factor,‎smartphone
Colour,‎Green
Battery Power Rating,‎5000 Milliamp Hours
Whats in the box,"‎‎Mobile Phone,Ejection Pin,Usb Cable,Manual,S pen"
Manufacturer,‎samsung
Country of Origin,‎Vietnam
Item Weight,‎230 g
